Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
91;1;+37.22993200981241;0.0903057700555726;COMPLETED;2405.3700676068374;23.58463966984899;0;0;0;0.11199999999999999;17848156.615384616;66026889.84615385;0;0;0;46317454.222222224;128;1;200;1;100;128;80;10;1000
90;1;+36.198191597332496;0.0917901098918942;COMPLETED;2409.195040522688;24.901398363644603;0;0;0;0.11199999999999999;21151929.777777776;64571467.85185185;0;0;0;45083534.222222224;128;1;200;1;380;450;80;10;1000
89;1;+37.37349339942;0.0900992317762006;COMPLETED;2406.6935712820514;23.920431589055138;0;0;0;0;20880129.48148148;65325131.85185185;0;0;0;45374577.777777776;128;1;200;1;100;128;80;10;1000
88;1;+36.7969076369803;0.0909287516882761;COMPLETED;2395.2925504273508;24.51818245836946;0;0;0;1.7514470085470086;19834015.407407407;65912073.481481485;0;0;0;44981607.783783786;128;1;200;1;380;450;80;10;1000
87;1;+36.209354014793306;0.0917740507933979;COMPLETED;2387.4421107692306;24.016624226180276;0;0;0;0.971829487179487;19601863.111111112;64702843.25925926;0;0;0;46966328.88888889;128;1;200;1;380;450;80;10;1000
86;1;+34.67452836349501;0.0939821671262207;COMPLETED;2374.2552473564;25.075064971123613;0;0;0;0.2693333333333333;20657355.85185185;64898237.62962963;0;0;0;47064291.55555555;128;1;200;1;380;450;80;10;1000
85;1;+19.1439890607617;0.116325576270383;COMPLETED;2400.3487384615382;23.05787760255822;0;0;0;0.064;22370402.666666668;66144938.666666664;0;0;0;75387221.33333333;2048;10;200;1;100;128;20;10;1000
84;1;-5.3728352904069965;0.151597335139525;CONSTRAINTS_VIOLATED;1530.984473237176;35.99080665403716;0;0;0;288.069141269312;48733752.615384616;100166892.3076923;176.7307636003112;11.672805367601168;1175.1988600371064;85486730.37837838;2048;1;200;2;100;128;80;10;12000
83;1;+34.3968088883447;0.0943817153801241;COMPLETED;2401.5518646153846;25.62070498349196;0;0;0;1.9326292307692308;23764467.259259257;64501229.03703704;0;0;0;46321550.222222224;128;1;200;1;181;450;21;6;1000
82;1;+37.6038976382196;0.0897677548019822;COMPLETED;2401.400841025641;25.630835391849363;0;0;0;0.688;19628338.666666668;64377287.11111111;0;0;0;41345592.88888889;128;5;200;1;100;128;20;10;1000
