Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (percent);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (percent);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
34;1;+38.772254435767906;0.0778714629209878;COMPLETED;182.2756394871795;5.263293106483608;0;0;0;4.571853866666666;18472986.37037037;57564880.59259259;0;0;0;38402503.11111111;2048;10;200;1;380;450;80;10;1000
33;1;+38.12563226322921;0.0786938582920522;COMPLETED;185.41659760496375;5.2956001013123;0;0;0;4.660876665746381;17763348.14814815;57983582.81481481;0;0;0;39008028.44444445;2048;10;200;1;100;128;80;10;1000
32;1;+35.209913484618205;0.0824021654437249;COMPLETED;184.0618651282051;5.84879712649019;0;0;0;4.282666666666667;17860765.333333332;57475982.222222224;0;0;0;38237866.666666664;128;1;200;1;100;450;80;10;1000
31;1;+38.06307797366269;0.0787734168973159;COMPLETED;181.46621401709402;5.257980420439496;0;0;0;4.149333333333334;19661955.259259257;58583115.85185185;0;0;0;39416604.44444445;128;10;200;1;380;450;80;10;1000
30;1;+37.599791585765296;0.0793626397805773;COMPLETED;185.48711410256414;5.633762602475321;0;0;0;4.181333333333333;17069490.074074075;57576106.666666664;0;0;0;36821333.333333336;2048;10;200;1;380;450;80;10;1000
29;1;+35.3081644219859;0.0822772066663654;COMPLETED;185.4486564102564;6.007342051353947;0;0;0;3.861333333333333;17143257.48148148;57171664.59259259;0;0;0;36741802.666666664;2048;1;200;1;380;450;80;10;1000
28;1;+34.44795618619509;0.0833712478256539;COMPLETED;187.35792649572653;5.897651858333695;0;0;0;2.256;16751533.925925925;57108555.85185185;0;0;0;38858752;2048;10;200;1;100;128;80;10;1000
27;1;+40.223256341783;0.076026030918204;COMPLETED;187.10677230769232;5.08383436421262;0;0;0;3.844258133333333;18450287.407407407;56649803.85185185;0;0;0;37962524.44444445;2048;10;200;1;100;128;80;10;1000
26;1;+42.636526481299995;0.0729567544904025;COMPLETED;189.75466666666668;4.632530161655671;0;0;0;2.32;16920002.962962963;58500285.62962963;0;0;0;38543587.55555555;2048;10;200;1;380;450;80;10;1000
25;1;+38.557998036045404;0.0781439612652078;COMPLETED;188.62720282051285;5.26569871039707;0;0;0;3.9360000000000004;18483749.037037037;58654416.59259259;0;0;0;38674432;128;10;200;1;380;450;80;10;1000
