Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
56;1;+31.716483250259497;0.0490228750744792;COMPLETED;558.4798034188034;13.221099232931849;0;0;0;0;9620037.037037037;41839122.96296296;0;0;0;24245816.888888888;2048;10;50;1;222;450;20;10;1000
55;1;+35.529064506364904;0.0462857035940711;COMPLETED;552.1208910256411;12.03704947295242;0;0;0;0.13866666666666666;9684146.962962963;43532591.40740741;0;0;0;23849528.888888888;2048;10;50;1;214;450;20;10;1000
54;1;+34.7971203676604;0.0468111892131659;COMPLETED;572.0853333333333;12.60168318554887;0;0;0;0.9527104;10352346.153846154;43957326.76923077;0;0;0;23201223.111111112;2048;10;50;1;209;450;20;10;1000
53;1;+33.640414170921495;0.047641624815779;COMPLETED;540.5966676971785;13.242868817937227;0;0;0;0.8959999999999999;9593498.666666666;42385559.7037037;0;0;0;22715960.888888888;2048;10;50;1;100;448;20;10;1000
52;1;+34.74752939111549;0.0468467921282426;COMPLETED;557.7357157264958;11.905659417257164;0;0;0;0.42666666666666664;9634422.222222222;41850349.03703704;0;0;0;24734151.111111112;2048;10;50;1;100;448;20;10;1000
51;1;+26.511368093974895;0.0527597902510952;COMPLETED;554.824002051282;14.816223165776545;0;0;0;0.44422399999999995;10501222.814814815;42523913.481481485;0;0;0;24832796.444444444;2048;10;50;2;100;450;20;10;1000
50;1;+33.75772087534779;0.0475574066590374;COMPLETED;576.184;12.796447651599575;0;0;0;0.6613333333333332;10090828.148148147;44581319.11111111;0;0;0;23584214.486486487;2041;10;50;1;100;448;20;10;1000
49;1;+33.696452655362094;0.0476013930328706;COMPLETED;554.2285634969696;12.753333235185295;0;0;0;0.37333333333333335;9755252.923076924;42955382.15384615;0;0;0;23724032;2048;10;50;1;100;450;20;10;1000
48;1;+36.7083804715661;0.0454390357306205;COMPLETED;549.4882084329952;12.352124371657895;0;0;0;0.9013333333333332;10378018.074074075;44686753.18518519;0;0;0;22263808;2041;10;50;1;100;448;20;10;1000
47;1;+37.773420878360795;0.0446744098692589;COMPLETED;558.6750314529916;12.123882824983175;0;0;0;0.6085233777777777;10205558.222222222;43542452.14814815;0;0;0;21932942.222222224;2048;10;50;1;100;450;20;10;1000
46;1;+37.7265198993764;0.0447080815508457;COMPLETED;551.4831394735664;11.746268372129643;0;0;0;0.438424;10319634.962962963;44557501.62962963;0;0;0;22780017.777777776;2048;10;50;1;100;450;20;10;1000
45;1;+16.255027232320895;0.0601231385482382;COMPLETED;549.5952468749982;13.404384363989228;0;0;0;0.44799999999999995;11342976.615384616;45493169.23076923;0;0;0;35771032.216216214;128;1;50;1;380;450;20;10;1000
44;1;-33.80934486512499;0.0960659191172346;COMPLETED;561.2000105398096;21.590696697153543;0;0;0;88.3687718128265;29080509.230769232;77417708.3076923;0;0;0;56784327.11111111;128;1;200;2;100;128;80;10;12000
43;1;+33.5954854206357;0.0476738805726197;COMPLETED;553.9922232478632;12.92420402939254;0;0;0;0.7786666666666666;10454738.461538462;43973710.76923077;0;0;0;23434922.666666668;2048;1;50;1;100;128;80;10;1000
42;1;+23.428086427629204;0.0549733747169138;COMPLETED;551.4487938461539;12.139524475969944;0;0;0;0.7958890666666667;10259428.148148147;45429797.925925925;0;0;0;32957781.333333332;2048;10;50;1;380;450;20;9;1000
41;1;-7.471119338866994;0.0771568821912462;COMPLETED;555.4380986324786;18.601454316516104;0;0;0;78.81430613333333;26065017.777777776;68446890.66666667;0;0;0;42900252.44444445;128;10;200;1;380;450;20;2;12000
40;1;+34.6533861243507;0.0469143805276895;COMPLETED;555.1858241025641;12.504929504703025;0;0;0;0.20800000000000002;9886635.25925926;43540783.40740741;0;0;0;23519800.888888888;2048;10;50;1;100;450;20;10;1000
39;1;+34.9596596474221;0.0466944971740658;COMPLETED;554.7947275213676;12.634519027028562;0;0;0;0.5226666666666668;10553384.296296297;43981027.55555555;0;0;0;23005411.555555556;2048;10;50;1;100;450;20;10;1000
38;1;+33.6877189142894;0.0476076632590968;COMPLETED;555.7865969230769;12.615272999507207;0;0;0;0.5226666666666666;10083289.185185185;43736177.777777776;0;0;0;24027246.7027027;2048;1;50;1;100;129;80;10;1000
